tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
1615771022862548995,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,594,1241,5736,False,2023-01-18T18:00:06+00:00,"Applications are now open for our new 
@ObamaFoundation
 Leaders USA program.

We're looking for passionate emerging leaders from every corner of the country, ages 24 to 45, who are making an impact in their community.

I hope you'll apply by February 3 at http://obama.org/usa-23.",[],['ObamaFoundation'],['https://pbs.twimg.com/media/FmxPOvVWABIiGzB.jpg'],['blob:https://twitter.com/e48ef5ad-7b5f-4432-b0ff-b3a5d1bf3a5e'],https://twitter.com/BarackObama/status/1615771022862548995,
1615348849240834048,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,9249,18673,335292,False,2023-01-17T14:02:32+00:00,"Happy birthday, 
@MichelleObama
. You make every day brighter — and somehow keep looking better!",[],['MichelleObama'],['https://pbs.twimg.com/media/FmrfN4UXoAAewgl?format=jpg&name=medium'],[],https://twitter.com/BarackObama/status/1615348849240834048,
1615100038409248769,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,651,1930,17358,False,2023-01-16T21:33:50+00:00,"Today we pay tribute to the extraordinary life and legacy of Dr. King, and reflect on the lessons he taught us. Thanks to everyone who joined the 
@ObamaFoundation
 to lend a hand in Chicago.",[],['ObamaFoundation'],"['https://pbs.twimg.com/media/Fmn87DEXoAYTv7R?format=jpg&name=small', 'https://pbs.twimg.com/media/Fmn87DDXoAgdPSp?format=jpg&name=small', 'https://pbs.twimg.com/media/Fmn87DGXoAY09DE?format=jpg&name=small', 'https://pbs.twimg.com/media/Fmn87DEXkAARPRO?format=jpg&name=small']",[],https://twitter.com/BarackObama/status/1615100038409248769,
1614012089315610636,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,288,932,4441,False,2023-01-13T21:30:43+00:00,"If you need to get covered, head over to http://Healthcare.gov. Open enrollment ends this Sunday, January 15.",[],[],[],[],https://twitter.com/BarackObama/status/1614012089315610636,
1614012087159726081,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,1552,1792,15983,False,2023-01-13T21:30:43+00:00,I’ll always be proud to have my name associated with a program that’s helping folks get the health care they need.,[],[],[],[],https://twitter.com/BarackObama/status/1614012087159726081,https://t.co/mnOTx4jdOA
1613574125838110721,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,5025,4128,28446,False,2023-01-12T16:30:25+00:00,"This week, Illinois joined states across the country in passing a historic gun violence prevention package. This would not have been possible without the work of grassroots organizers, survivors and their families, and lawmakers who channeled their anguish into bold action.",[],[],[],[],https://twitter.com/BarackObama/status/1613574125838110721,
1612941621959573507,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,355,1453,8744,False,2023-01-10T22:37:04+00:00,"If you haven't already, I hope you’ll take some time to watch Descendant on 
@Netflix
. It's an important documentary that shares the story of the descendants of the Clotilda, the last known ship carrying enslaved folks from Africa, as they uncover the truth about the past.",[],['Netflix'],['https://pbs.twimg.com/media/FmxUvroWAAA8dAD.jpg'],['blob:https://twitter.com/0349c0ce-674c-4b4b-a9f1-c9adbc4388fc'],https://twitter.com/BarackObama/status/1612941621959573507,
1612941617320656896,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,707,1746,17790,False,2023-01-10T22:37:03+00:00,"Last fall, visual artist Adam Davis captured tintype photos of the descendants of Africatown during the premiere of the 
@HGMedia
 documentary Descendant. He recently took one of me, too. These photos were inspired by the images taken of a Clotilda survivor, Cudjoe Lewis.",[],['HGMedia'],"['https://pbs.twimg.com/media/FmJNoVbWQAIaFPL?format=jpg&name=small', 'https://pbs.twimg.com/media/FmJNo1wXEAAf3an?format=jpg&name=small', 'https://pbs.twimg.com/media/FmJN1efXgAAL_BE?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FmJN2MSXgAAdyzR?format=jpg&name=small']",[],https://twitter.com/BarackObama/status/1612941617320656896,
1612611495560417280,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,18485,20631,181645,False,2023-01-10T00:45:16+00:00,"The entire world has a stake in the success of Brazil’s democracy. Together, we must reject any effort to overturn or disrupt the will of the Brazilian people and affirm the peaceful transfer of power as a cornerstone of democracy.",[],[],[],[],https://twitter.com/BarackObama/status/1612611495560417280,
1610297526477025288,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,1635,2560,20979,False,2023-01-03T15:30:22+00:00,"15 years ago today, our campaign won the Iowa caucuses. I’ll always be grateful to the people who organized across the state, and built the relationships that made it all possible.

I recently sat down with six organizers to talk about that time and what they’ve been up to since.",[],[],['https://pbs.twimg.com/media/Fljer3dakAAZAVx.jpg'],['blob:https://twitter.com/6048c32f-84e4-44d2-aa20-d3fb5e16b95d'],https://twitter.com/BarackObama/status/1610297526477025288,
1609550132588036102,BarackObama,Barack Obama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_x96.jpg,4354,6736,79849,False,2023-01-01T14:00:30+00:00,"Happy New Year! 

In 2022, people around the world helped change their communities for the better. Let's keep it up in 2023. We’ve still got a lot of work to do, but I’ll be right there with you. 

Here's to a happy, healthy, and peaceful new year.",[],[],[],[],https://twitter.com/BarackObama/status/1609550132588036102,
